log(shear rate) in s^-1,Polymer conc(wt%),NaCl concentration(wt%),Ca+2 concentration(wt%),Temperature(in celsius),log(viscosity) in cP
0.0104152,0.3,0.1,0,25,2309.56
0.0225609,0.3,0.1,0,25,2298.77
0.0488704,0.3,0.1,0,25,2288.02
0.101641,0.3,0.1,0,25,1981.19
0.220169,0.3,0.1,0,25,1715.09
0.457907,0.3,0.1,0,25,1204.6
1.03308,0.3,0.1,0,25,735.497
2.23781,0.3,0.1,0,25,516.454
4.84744,0.3,0.1,0,25,294.153
10.0817,0.3,0.1,0,25,192.676
21.8385,0.3,0.1,0,25,117.672
45.4197,0.3,0.1,0,25,77.0772
102.471,0.3,0.1,0,25,47.0612
90.6979,0.3,0.1,0,25,54.149
0.0108477,0.2,0.1,0,25,756.09
0.0216615,0.2,0.1,0,25,807.34
0.0469222,0.2,0.1,0,25,749.409
0.101641,0.2,0.1,0,25,695.635
0.229311,0.2,0.1,0,25,602.052
0.47692,0.2,0.1,0,25,486.18
1.03308,0.2,0.1,0,25,318.379
2.1486,0.2,0.1,0,25,239.776
4.65419,0.2,0.1,0,25,146.437
9.67979,0.2,0.1,0,25,95.9188
21.8385,0.2,0.1,0,25,67.336
45.4197,0.2,0.1,0,25,41.1338
98.3859,0.2,0.1,0,25,30.9708
87.0822,0.2,0.1,0,25,30.9937
0.0104152,0.1,0.1,0,25,114.947
0.0225609,0.1,0.1,0,25,114.41
0.0488704,0.1,0.1,0,25,113.875
0.101641,0.1,0.1,0,25,113.371
0.220169,0.1,0.1,0,25,98.1436
0.457907,0.1,0.1,0,25,91.1238
0.991897,0.1,0.1,0,25,78.8844
2.23781,0.1,0.1,0,25,59.3796
4.65419,0.1,0.1,0,25,44.7196
10.0817,0.1,0.1,0,25,31.4013
21.8385,0.1,0.1,0,25,23.643
43.609,0.1,0.1,0,25,17.8102
80.2775,0.1,0.1,0,25,14.3931
98.3859,0.1,0.1,0,25,13.4065
0.0104152,0.05,0.1,0,25,20.0874
0.020798,0.05,0.1,0,25,17.3979
0.0508995,0.05,0.1,0,25,19.8951
0.101641,0.05,0.1,0,25,18.4767
0.229311,0.05,0.1,0,25,19.7145
0.47692,0.05,0.1,0,25,18.3044
1.03308,0.05,0.1,0,25,15.8458
2.1486,0.05,0.1,0,25,15.7756
4.65419,0.05,0.1,0,25,14.6437
10.0817,0.05,0.1,0,25,11.0256
20.9679,0.05,0.1,0,25,9.54705
43.609,0.05,0.1,0,25,7.70962
94.4637,0.05,0.1,0,25,6.22428
106.726,0.05,0.1,0,25,6.21968
0.01,0.3,1,0,25,119.542
0.0218417,0.3,1,0,25,129.012
0.0477058,0.3,1,0,25,129.639
0.1,0.3,1,0,25,130.235
0.209618,0.3,1,0,25,130.834
0.497083,0.3,1,0,25,131.537
1.04197,0.3,1,0,25,123.036
2.27585,0.3,1,0,25,92.9194
4.77058,0.3,1,0,25,75.3488
10,0.3,1,0,25,56.8904
21.8417,0.3,1,0,25,42.9647
47.7058,0.3,1,0,25,32.4478
74.9894,0.3,1,0,25,26.2651
100,0.3,1,0,25,24.4989
0.0104197,0.2,1,0,25,40.9745
0.0227585,0.2,1,0,25,41.1735
0.0457841,0.2,1,0,25,41.3524
0.1,0.2,1,0,25,41.5532
0.209618,0.2,1,0,25,38.8678
0.477058,0.2,1,0,25,39.0666
1,0.2,1,0,25,39.2463
2.09618,0.2,1,0,25,39.4268
4.57841,0.2,1,0,25,31.9796
9.59716,0.2,1,0,25,27.8516
21.8417,0.2,1,0,25,24.2689
47.7058,0.2,1,0,25,17.0653
71.9686,0.2,1,0,25,15.93
100,0.2,1,0,25,13.8384
0.01,0.1,1,0,25,10.5501
0.0218417,0.1,1,0,25,10.6013
0.0439397,0.1,1,0,25,10.6474
0.0959716,0.1,1,0,25,10.6991
0.209618,0.1,1,0,25,10.751
0.457841,0.1,1,0,25,11.6028
0.959716,0.1,1,0,25,11.6562
2.09618,0.1,1,0,25,10.9057
4.57841,0.1,1,0,25,10.2035
9.59716,0.1,1,0,25,9.54408
20.9618,0.1,1,0,25,8.31424
47.7058,0.1,1,0,25,6.7455
66.287,0.1,1,0,25,6.2935
100,0.1,1,0,25,6.30957
0.0104197,0.05,1,0,25,4.17125
0.019307,0.05,1,0,25,4.18723
0.0439397,0.05,1,0,25,4.20864
0.0959716,0.05,1,0,25,4.22908
0.218417,0.05,1,0,25,4.2507
